,initial_investment,subsequent_investment,total_net_assets,year_to_date_return,week52_high,week52_low,fund_yield,morningstar_overall_rating,morningstar_risk_rating,annual_holdings_turnover,fund_annual_report_net_expense_ratio,category_annual_report_net_expense_ratio,fund_year3_expense_projection,fund_year5_expense_projection,fund_year10_expense_projection,asset_cash,fund_sector_basic_materials,fund_sector_utilities,fund_sector_technology,fund_sector_real_estate,fund_sector_industrials,fund_sector_healthcare,fund_sector_financial_services,fund_sector_energy,fund_sector_consumer_defensive,fund_sector_consumer_cyclical,fund_sector_communication_services,fund_price_earning_ratio,fund_price_sales_ratio,fund_year3_earnings_growth,fund_bond_maturity,morningstar_return_rating,fund_return_ytd,fund_return_3years,fund_return_5years,fund_return_10years,environment_score,esg_score,sustainability_rank,governance_score
fund_sector_industrials,0.004007377690573976,-0.021602305822630837,-0.010558994818009789,0.34803257658833736,0.08992453238121681,0.08496634951292957,-0.1812511411751078,-0.005147061571086411,-0.025019725649759007,-0.09139779172456748,0.07700961587776473,0.09145218485794514,0.02680330304257758,0.04681561995711452,0.028104594507451227,-0.07496026812601266,0.12061129309632514,0.08223047119267721,0.305496964002884,-0.04671972390897522,1.0,0.282081813189533,0.2543628282330713,-0.09846975860069498,0.2220844687436955,0.334291670736592,0.05481446283004779,0.4300789404391363,0.12661993481941075,0.18359604102686064,-0.23687400399791106,-0.011288901607305326,0.3481234810093944,0.18594174367359004,0.18943734817833147,0.16612926601162087,0.23838420693558462,0.4522264889506937,0.32282515093878006,0.2261731521515328
fund_sector_healthcare,0.004236522870787022,-0.020458112105706906,0.043622113979022215,0.24430092609351498,0.18936301276142542,0.18840851050073712,-0.2102691741393336,0.0264341055162537,-0.033263102046049084,-0.0761293570316533,0.054072026668536076,0.026983752722507033,0.022634094753581045,0.03446221327071821,0.018600794640531625,-0.07337790601625656,0.001632317849527234,-0.0320637561646582,0.3905159219059305,-0.08751821528866341,0.282081813189533,1.0,0.14059013090629466,-0.12820832713108316,0.20052257638461024,0.2438193690037191,0.1443208270874409,0.4662533476549435,0.2625886330082661,0.3778197782077595,-0.2396765538147546,0.013948450882535017,0.24432969875077715,0.3350821268024143,0.26081546754152507,0.2701836362150601,0.1442960200687502,0.4385766543327588,0.3220111848267232,0.29736150541892864
fund_sector_financial_services,0.010728274288576103,-0.004522555993965167,0.02766474486680875,0.29333583258316936,0.06447669685795339,0.05765948556934301,-0.09660135642494427,-0.004182829402125438,0.009284023291087339,-0.04669882075159968,0.08180333966373904,0.014980474655360673,0.020160213500036234,0.03224656269225065,0.0172312206445879,-0.07552470394459765,0.06903274423449397,-0.01877586597470357,0.20116655882141485,-0.05700340963059237,0.2543628282330713,0.14059013090629466,1.0,-0.08167459034629514,0.18605696713725217,0.23005116731815606,0.14306401658152104,0.3222624073922737,0.1029342925799676,0.18984215718202432,-0.16160894544383064,-0.00047265892425532607,0.2933003995872963,0.10129560632402344,0.12372651537842104,0.1100692743028464,0.2145828899991884,0.33516359034855614,0.2884792809017009,0.3241318339583871
fund_sector_energy,-0.005276025569001912,0.01994180002089481,-0.0006707722391190873,0.05648396036756892,-0.05948248128711323,-0.06525283977858429,0.17026403810702662,0.013108152484786752,0.07437787463496814,0.009452000257872371,0.047530290641952945,0.08247730962468716,-0.0005554144942185204,0.004678033861685027,0.0034102118506295566,-0.018424124889715232,0.029567631899278014,-0.0005593893549426619,-0.17186665287074568,-0.042664563036177175,-0.09846975860069498,-0.12820832713108316,-0.08167459034629514,1.0,-0.06805707002152202,-0.1088609771736982,-0.038475140040395144,-0.15900366317090414,-0.0036864292098677228,-0.09240450433181374,0.00684110674810473,0.02484731361586512,0.05647031701261593,-0.1627848770577944,-0.10972759647115155,-0.08698784182905824,0.01414642769954196,-0.049099082231366754,-0.026801967802313385,-0.11277089085668839
fund_sector_consumer_defensive,0.006831133373015208,-0.01391147674694896,0.022629546609722852,0.1355009531467404,0.036215916960816406,0.039864223359165986,-0.062273167802652594,-0.019417919381744173,-0.08968812711678259,-0.06595064267115655,0.03697787323461162,-0.015019324768511947,0.015428041019837252,0.027313683213970215,0.016635531856012947,-0.02911073388116404,0.07567070188036787,-0.006608929272091205,0.18071245174944492,-0.05968912062594918,0.2220844687436955,0.20052257638461024,0.18605696713725217,-0.06805707002152202,1.0,0.21448081583728376,0.15896154015926142,0.2854729097910329,0.0838314597052706,0.17744277443154477,-0.15001038049287424,-0.045119071778604386,0.13557049923020176,0.06605646114368506,0.06914340559694036,0.044820972878390104,0.26539937921309376,0.2577143743456345,0.2029955919328351,0.28879958952619295
fund_sector_consumer_cyclical,0.013318361435438566,-0.018263243654366223,0.030102087224080063,0.2421282399527244,0.1491345685478025,0.13702732059849923,-0.218825727969554,0.03550272136910239,0.02032932491825015,-0.06531501208470086,0.07769637516488605,0.056210433701633415,0.028176205782453133,0.05019588652540572,0.03036652620248836,-0.08689312782068079,0.07494332735093351,-0.07923219095979608,0.463313328613521,-0.07149265978663395,0.334291670736592,0.2438193690037191,0.23005116731815606,-0.1088609771736982,0.21448081583728376,1.0,0.2999206776906548,0.5064459277923915,0.25440675841503335,0.3938241012248308,-0.23547418088124222,0.04065036366962859,0.24219578720966967,0.31631801996912506,0.2576913887970934,0.19894308174253247,0.19899661540465824,0.4100549415261353,0.27475365994425327,0.32683940370333736
fund_sector_communication_services,0.011008445724639972,-0.015808836773547226,0.06083078070554358,0.13645152054691997,0.13785563811940701,0.13419753288960545,-0.10577653384793315,0.037169153473825815,0.011897838324364463,-0.06093493746943645,0.03132146147630867,-0.02854385985758738,0.029708458704430552,0.03806183145027868,0.01687683985682546,-0.027351307173804337,0.008260843257830853,-0.019284482509214967,0.402548037685427,-0.08488657104427605,0.05481446283004779,0.1443208270874409,0.14306401658152104,-0.038475140040395144,0.15896154015926142,0.2999206776906548,1.0,0.3554037638344141,0.252251190830833,0.3712880244416702,-0.15828724568909197,0.03897442564604768,0.136569019180372,0.2531854419468546,0.20696920537682223,0.15279933469475732,0.18928461950783138,0.22562302933398304,0.18781576108586537,0.36622653638047525
fund_price_earning_ratio,0.00933687965888243,-0.02944120709753957,0.06092416735957309,0.47507749496567087,0.2620481991417319,0.25004431759865164,-0.28681046875188776,0.062258600818664404,-0.042288466764224146,-0.11981564543036324,0.1082137062027199,0.0685059703561845,0.047769964467404266,0.07132296440066203,0.038803074356800395,-0.10991955978987349,0.10642247206825071,-0.012713092475938501,0.707722150425037,0.19372637981811144,0.4300789404391363,0.4662533476549435,0.3222624073922737,-0.15900366317090414,0.2854729097910329,0.5064459277923915,0.3554037638344141,1.0,0.6311779328993595,0.6167212532078588,-0.3758368625960726,0.04701478855753163,0.4751605273108652,0.5216089233730199,0.4251940994288472,0.33896714377467285,0.40223786871832645,0.5884013397440451,0.39723270818415485,0.5489579588240153
fund_price_sales_ratio,-0.0005653685815980331,-0.01632791344747113,0.049138382377441614,0.3206349245910131,0.21154907365329678,0.19793435184009814,-0.1761924887448114,0.10630022717757778,0.007842449503045598,-0.07233201560332883,0.10677087627981467,0.10722263599024215,0.03751455072107039,0.05128837901031947,0.02699205368787782,-0.09341011250263549,0.004482818396411313,0.03948055627761589,0.4707410800277659,0.3981646072096418,0.12661993481941075,0.2625886330082661,0.1029342925799676,-0.0036864292098677228,0.0838314597052706,0.25440675841503335,0.252251190830833,0.6311779328993595,1.0,0.41420056283112466,-0.27429092494530394,0.09836851859077424,0.3207529336414503,0.4539689176602882,0.3552108869834811,0.27014213304230106,0.22713551190640133,0.33736713912407157,0.2332578798790402,0.34381352468706494
fund_year3_earnings_growth,0.008606681816561558,-0.006161660679854862,0.06208050329852071,0.3322069593401324,0.24243977114126394,0.231656028487489,-0.24230536810397849,0.049350268784414605,-0.04532835031410617,-0.08198665085760598,0.04866763169736669,-0.009201899472316297,0.021327148266737747,0.03938429785971514,0.021990146294198095,-0.06410541422086756,0.04070100722270756,-0.061131786468875814,0.6307064911565478,-0.06315338507182605,0.18359604102686064,0.3778197782077595,0.18984215718202432,-0.09240450433181374,0.17744277443154477,0.3938241012248308,0.3712880244416702,0.6167212532078588,0.41420056283112466,1.0,-0.2323207282943699,0.031866973780227986,0.33238042615174984,0.43907892615316246,0.3650781455954717,0.28692603847455195,0.22099085160912002,0.4059573538197016,0.2364965701704601,0.41185879196437486
